TITLE,ARTIST
Opus,Eric Prydz
Greyhound,Swedish House Mafia
Animals,Martin Garrix
Clarity,"Zedd feat. Foxes"
Titanium,"David Guetta feat. Sia"
Levels,Avicii
Strobe,deadmau5
"Don't You Worry Child","Swedish House Mafia feat. John Martin"
"Calling (Lose My Mind)","Sebastian Ingrosso & Alesso feat. Ryan Tedder"
I Remember,"deadmau5 & Kaskade"
Reload,"Sebastian Ingrosso, Tommy Trash, John Martin"
Summit,"Skrillex feat. Ellie Goulding"
"Take Ü There","Jack Ü feat. Kiesza"
"Turn Down for What","DJ Snake & Lil Jon"
Wake Me Up,Avicii
"Scary Monsters And Nice Sprites",Skrillex
Tremor,"Dimitri Vegas, Like Mike, Martin Garrix"
Bangarang,"Skrillex feat. Sirah"
Get Low,"Dillon Francis & DJ Snake"
"Runaway (U & I)",Galantis
Faded,Alan Walker
"Lean On","Major Lazer & DJ Snake feat. MØ"
The Nights,Avicii
"Stay The Night","Zedd feat. Hayley Williams"
Internet Friends,Knife Party
Antidote,"Swedish House Mafia vs. Knife Party"
Boneless,"Steve Aoki, Chris Lake & Tujamo"
Tsunami,"DVBBS & Borgeous"
Rattle,Bingo Players
Secrets,"Tiësto & KSHMR feat. Vassy"
Animale,"Don Diablo feat. Dragonette"
"This Is What You Came For","Calvin Harris feat. Rihanna"
"Sweet Nothing","Calvin Harris feat. Florence Welch"
"Like A G6","Far East Movement feat. The Cataracs & Dev"
"Without You","Avicii feat. Sandro Cavazza"
Mammoth,"Dimitri Vegas, Moguai & Like Mike"
Five Hours,Deorro
"The Only Way Is Up","Martin Garrix & Tiësto"
"Burn","Ellie Goulding (Tiesto Remix)"
"Adagio For Strings",Tiësto
Apollo,"Hardwell feat. Amba Shepherd"
"In My Mind","Axwell Λ Ingrosso"
Easy,"Mat Zo & Porter Robinson"
"Lose Control","Meduza, Becky Hill, Goodboys"
Byte,"Martin Garrix & Brooks"
"Beautiful Now","Zedd feat. Jon Bellion"
"Gold Skies","Sander van Doorn, Martin Garrix, DVBBS feat. Aleesia"
"Last Chance","Kaskade & Project 46"
"Here For You","Kygo feat. Ella Henderson"
"Under Control","Calvin Harris & Alesso feat. Hurts"
