TITLE,ARTIST
Symphony No. 9 in D minor, Op. 125 "Choral",Ludwig van Beethoven
Missa Solemnis in D major, Op. 123,Ludwig van Beethoven
Piano Sonata No. 14 in C-sharp minor "Quasi una fantasia", Op. 27, No. 2 "Moonlight",Ludwig van Beethoven

St. Matthew Passion,Johann Sebastian Bach
Mass in B minor,Johann Sebastian Bach
Toccata and Fugue in D minor,Johann Sebastian Bach

A Love Supreme,John Coltrane
Giant Steps,John Coltrane
My Favorite Things,John Coltrane

Exodus,Bob Marley & The Wailers
Redemption Song,Bob Marley & The Wailers
One Love / People Get Ready,Bob Marley & The Wailers

Hallelujah,Leonard Cohen
Suzanne,Leonard Cohen
Anthem,Leonard Cohen

Amazing Grace,Aretha Franklin
Respect,Aretha Franklin
I Say a Little Prayer,Aretha Franklin

Hurt,Johnny Cash
God's Gonna Cut You Down,Johnny Cash
Ring of Fire,Johnny Cash

O virtus Sapientie,Hildegard von Bingen
O Euchari, Hildegard von Bingen
O ignee Spiritus,Hildegard von Bingen

Messiah: Hallelujah Chorus,George Frideric Handel
Water Music Suite No. 1 in F major,George Frideric Handel
Music for the Royal Fireworks,George Frideric Handel

Spiegel im Spiegel,Arvo Pärt
Fratres,Arvo Pärt
Für Alina,Arvo Pärt

Orinoco Flow,Enya
Caribbean Blue,Enya
Only Time,Enya

Quatuor pour la fin du temps (Quartet for the End of Time),Olivier Messiaen
Turangalîla-Symphonie,Olivier Messiaen
Vingt regards sur l'enfant-Jésus (Twenty Contemplations on the Infant Jesus),Olivier Messiaen

Allah Hoo,Nusrat Fateh Ali Khan
Dam Mast Qalandar,Nusrat Fateh Ali Khan
Tere Bin Nahin Lagda,Nusrat Fateh Ali Khan

Concerto for Sitar and Orchestra No. 1 in C minor, Op. 25 "Raga-Mala",Ravi Shankar
Raga Jog,Ravi Shankar
Raga Yaman Kalyan,Ravi Shankar

Journey in Satchidananda,Alice Coltrane
Om Shanti,Alice Coltrane
Turiya & Ramakrishna,Alice Coltrane

Cecilia, vergine romana,Cecilia Bartoli
Stabat Mater (performed with James Bowman),Cecilia Bartoli
Agitata da due venti,Cecilia Bartoli

Morning Has Broken,Cat Stevens
Peace Train,Cat Stevens
Father and Son,Cat Stevens

Didn't It Rain,Sister Rosetta Tharpe
Up Above My Head,Sister Rosetta Tharpe
Strange Things Happening Every Day,Sister Rosetta Tharpe

Miserere mei, Gregorio Allegri
Christus resurgens ex mortuis, Gregorio Allegri
Missa Papae Marcelli: Kyrie, Gregorio Allegri
