"TITLE","ARTIST"
"Symphony No. 9 in D Minor, Op. 125 (Choral)","Ludwig van Beethoven"
"Requiem in D Minor, K. 626: Lacrimosa","Wolfgang Amadeus Mozart"
"Enigma Variations, Op. 36: Nimrod","Edward Elgar"
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach"
"Symphony No. 6 in B Minor, Op. 74 (Pathétique)","Pyotr Ilyich Tchaikovsky"
"Adagio for Strings, Op. 11","Samuel Barber"
"Symphony No. 5: Adagietto","Gustav Mahler"
"The Four Seasons, Concerto No. 4 in F Minor, RV 297 (Winter): II. Largo","Antonio Vivaldi"
"Gymnopédie No. 1","Erik Satie"
"The Firebird Suite: Finale","Igor Stravinsky"
"Clair de Lune","Claude Debussy"
"Finlandia, Op. 26","Jean Sibelius"
"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto","Sergei Rachmaninoff"
"Nabucco: Chorus of the Hebrew Slaves (Va, pensiero)","Giuseppe Verdi"
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 (Moonlight Sonata): I. Adagio sostenuto","Ludwig van Beethoven"
"Canon in D Major","Johann Pachelbel"
"The Valkyrie: Ride of the Valkyries","Richard Wagner"
"Glassworks: Opening","Philip Glass"
"Nocturne in E-Flat Major, Op. 9 No. 2","Frédéric Chopin"
"Spiegel im Spiegel","Arvo Pärt"
"Boléro","Maurice Ravel"
"Symphony No. 40 in G Minor, KV. 550","Wolfgang Amadeus Mozart"
"Symphony No. 9 'From the New World', Op. 95, B. 178","Antonín Dvořák"
"Piano Concerto No. 5 in E-flat major, Op. 73 'Emperor'","Ludwig van Beethoven"
"Prelude in C-sharp minor, Op. 3 No. 2","Sergei Rachmaninoff"
"Overture to 'The Marriage of Figaro', K. 492","Wolfgang Amadeus Mozart"
"Violin Concerto in E Minor, Op. 64","Felix Mendelssohn"
"The Lark Ascending","Ralph Vaughan Williams"
"Nocturne in C-sharp Minor, B. 49","Frédéric Chopin"
"Also sprach Zarathustra, Op. 30","Richard Strauss"
"Unstoppable","Sia"
"Believer","Imagine Dragons"
"Fight Song","Rachel Platten"
"Lose Yourself","Eminem"
"Hall of Fame","The Script featuring will.i.am"
"Stronger","Kanye West"
"Unwritten","Natasha Bedingfield"
"Rise Up","Andra Day"
"Fix You","Coldplay"
"Shake It Out","Florence + The Machine"
"Eye of the Tiger","Survivor"
"Don’t Stop Me Now","Queen"
"Heroes","David Bowie"
"Uprising","Muse"
"Walk","Foo Fighters"
"In the End","Linkin Park"
"Survivor","Destiny's Child"
"Girl on Fire","Alicia Keys"
"Run the World (Girls)","Beyoncé"
"Start Me Up","The Rolling Stones"
"Beautiful","Christina Aguilera"
"Fire on Fire","Sam Smith"
"Skyscraper","Demi Lovato"
"Roar","Katy Perry"
"Stronger (What Doesn’t Kill You)","Kelly Clarkson"
"Brave","Sara Bareilles"
"Gravity","John Mayer"
"Rolling in the Deep","Adele"
"Burn","Ellie Goulding"
"Yellow Flicker Beat","Lorde"
"Breaking the Habit","Linkin Park"
"Bring Me To Life","Evanescence"
"Decode","Paramore"
"Boulevard of Broken Dreams","Green Day"
"Smells Like Teen Spirit","Nirvana"
"Nothing Else Matters","Metallica"
"Can’t Stop","Red Hot Chili Peppers"
"Hurt","Nine Inch Nails"
"The Sound of Silence","Disturbed"
"Chop Suey!","System of a Down"
"9 to 5","Dolly Parton"
"Born This Way","Lady Gaga"
"Express Yourself","Madonna"
"I’m Still Standing","Elton John"
"It’s My Life","Bon Jovi"
"Born to Run","Bruce Springsteen"
"Dream On","Aerosmith"
"Beautiful Day","U2"
"Superstition","Stevie Wonder"
"Don’t Stop Believin’","Journey"
"Blowin' in the Wind","Bob Dylan"
"Imagine","John Lennon"
"Talkin' Bout a Revolution","Tracy Chapman"
"What's Going On","Marvin Gaye"
"A Change Is Gonna Come","Sam Cooke"
"Respect","Aretha Franklin"
"The Sound of Silence","Simon & Garfunkel"
"Redemption Song","Bob Marley"
"Hallelujah","Leonard Cohen"
"Peace Train","Cat Stevens"
"Greatest Love of All","Whitney Houston"
"My Heart Will Go On","Celine Dion"
"Perfect","Ed Sheeran"
"Someone Like You","Adele"
"Yellow","Coldplay"
"Your Song","Elton John"
"All You Need Is Love","The Beatles"
"At Last","Etta James"
"What A Wonderful World","Louis Armstrong"
"Heal the World","Michael Jackson"
"Landslide","Fleetwood Mac"
"Hotel California","Eagles"
"Let It Be","The Beatles"
"Hurt","Johnny Cash"
"Wish You Were Here","Pink Floyd"
"Riders on the Storm","The Doors"
"Heart of Gold","Neil Young"
"The River","Bruce Springsteen"
"Bridge Over Troubled Water","Simon & Garfunkel"
"Lean on Me","Bill Withers"
"The Climb","Miley Cyrus"
"Shake It Off","Taylor Swift"
"Happy","Pharrell Williams"
"Firework","Katy Perry"
"Diamonds","Rihanna"
"Can’t Stop the Feeling!","Justin Timberlake"
"Don’t Start Now","Dua Lipa"
"In My Blood","Shawn Mendes"
"No Tears Left to Cry","Ariana Grande"
"Chandelier","Sia"
"Celebration","Kool & The Gang"
"September","Earth, Wind & Fire"
"Dancing Queen","ABBA"
"I Will Survive","Gloria Gaynor"
"Uptown Funk","Mark Ronson ft. Bruno Mars"
"Get Lucky","Daft Punk ft. Pharrell Williams"
"Hey Ya!","OutKast"
"We Are the Champions","Queen"
"I Gotta Feeling","The Black Eyed Peas"
"Freedom","Beyoncé"
